t,transactions_transfers_volume_miners_net
2010-01-01,6500.0
2010-01-02,6300.0
2010-01-03,9300.0
2010-01-04,5050.0
2010-01-05,9900.0
2010-01-06,8150.0
2010-01-07,7700.0
2010-01-08,7650.0
2010-01-09,7550.0
2010-01-10,9500.0
2010-01-11,7950.0
2010-01-12,-2798.7400000000407
2010-01-13,8195.0
2010-01-14,6750.0
2010-01-15,6849.26
2010-01-16,6000.0
2010-01-17,6550.0
2010-01-18,6200.0
2010-01-19,6200.0
2010-01-20,7900.0
2010-01-21,8550.0
2010-01-22,6400.0
2010-01-23,8000.0
2010-01-24,7650.0
2010-01-25,7750.0
2010-01-26,9100.0
2010-01-27,7200.0
2010-01-28,7800.0
2010-01-29,8900.0
2010-01-30,8800.0
2010-01-31,7450.0
2010-02-01,8750.0
2010-02-02,6200.0
2010-02-03,13200.0
2010-02-04,9450.0
2010-02-05,-850.0
2010-02-06,8150.0
2010-02-07,10400.0
2010-02-08,4051.0
2010-02-09,-10499.560000000001
2010-02-10,-21850.0
2010-02-11,4750.0
2010-02-12,7300.0
2010-02-13,7450.0
2010-02-14,7950.0
2010-02-15,4300.0
2010-02-16,9000.0
2010-02-17,10950.0
2010-02-18,7550.0
2010-02-19,9550.0
2010-02-20,9750.0
2010-02-21,4900.0
2010-02-22,-300.0
2010-02-23,12450.0
2010-02-24,3300.0
2010-02-25,600.0
2010-02-26,7700.0
2010-02-27,8150.0
2010-02-28,7750.0
2010-03-01,8150.0
2010-03-02,7400.0
2010-03-03,2450.0
2010-03-04,-10100.0
2010-03-05,8550.0
2010-03-06,4500.0
2010-03-07,3250.0
2010-03-08,-2750.0
2010-03-09,3250.0
2010-03-10,6500.0
2010-03-11,3450.0
2010-03-12,5700.0
2010-03-13,5850.0
2010-03-14,5900.0
2010-03-15,6650.0
2010-03-16,5100.0
2010-03-17,5550.0
2010-03-18,3150.0
2010-03-19,1350.0
2010-03-20,6300.0
2010-03-21,8800.0
2010-03-22,7000.0
2010-03-23,6650.0
2010-03-24,7200.0
2010-03-25,-7050.040000000001
2010-03-26,6150.0
2010-03-27,7850.0
2010-03-28,8500.04
2010-03-29,6900.0
2010-03-30,10200.0
2010-03-31,9350.0
2010-04-01,7000.0
2010-04-02,6800.0
2010-04-03,6850.0
2010-04-04,5145.26
2010-04-05,1390.0
2010-04-06,3340.63
2010-04-07,4800.0
2010-04-08,8115.0
2010-04-09,5300.0
2010-04-10,-400.0
2010-04-11,4400.0
2010-04-12,4650.0
2010-04-13,7700.0
2010-04-14,5100.0
2010-04-15,-21039.989999999998
2010-04-16,300.0
2010-04-17,7900.0
2010-04-18,7150.0
2010-04-19,-2500.0
2010-04-20,300.0
2010-04-21,4050.0
2010-04-22,6250.0
2010-04-23,5650.0
2010-04-24,4000.0
2010-04-25,450.0
2010-04-26,4502.0
2010-04-27,6450.0
2010-04-28,3900.0
2010-04-29,5300.0
2010-04-30,6300.0
2010-05-01,6350.0
2010-05-02,5750.0
2010-05-03,3200.0
2010-05-04,-1150.0
2010-05-05,900.0
2010-05-06,-6200.0
2010-05-07,2800.0
2010-05-08,-5750.26
2010-05-09,4200.0
2010-05-10,-750.0
2010-05-11,3900.0
2010-05-12,1250.0
2010-05-13,1600.0
2010-05-14,1460.0600000000004
2010-05-15,1852.6400000000003
2010-05-16,3597.36
2010-05-17,1450.0
2010-05-18,3300.0
2010-05-19,3200.0
2010-05-20,7351.0
2010-05-21,2749.0
2010-05-22,3844.2799999999997
2010-05-23,2750.0
2010-05-24,4100.0
2010-05-25,5300.0
2010-05-26,4150.0
2010-05-27,8500.0
2010-05-28,7700.0
2010-05-29,2450.0
2010-05-30,3850.0
2010-05-31,2650.0
2010-06-01,1850.0
2010-06-02,4150.0
2010-06-03,-1100.0
2010-06-04,3250.0
2010-06-05,3450.0
2010-06-06,3650.0
2010-06-07,-5350.0
2010-06-08,3000.0
2010-06-09,3650.0
2010-06-10,4500.0
2010-06-11,4865.0
2010-06-12,2800.0
2010-06-13,1635.0
2010-06-14,-300.0
2010-06-15,5805.0
2010-06-16,2300.0
2010-06-17,4260.0
2010-06-18,3300.0
2010-06-19,1605.0
2010-06-20,5750.0
2010-06-21,4055.0
2010-06-22,2005.0
2010-06-23,5700.0
2010-06-24,2800.0
2010-06-25,5500.0
2010-06-26,5600.0
2010-06-27,4350.0
2010-06-28,3700.0
2010-06-29,500.0
2010-06-30,-98.48273508764942
2010-07-01,3400.0
2010-07-02,1000.0
2010-07-03,5355.0
2010-07-04,-2855.0
2010-07-05,1290.0
2010-07-06,4750.5
2010-07-07,559.5
2010-07-08,3600.0
2010-07-09,5600.0
2010-07-10,1800.0
2010-07-11,2525.0
2010-07-12,23667.149999999998
2010-07-13,24609.369999999995
2010-07-14,17758.0257142857
2010-07-15,8810.599999999999
2010-07-16,11002.14
2010-07-17,-3810.0300000000007
2010-07-18,-4849.259999999989
2010-07-19,-2610.17
2010-07-20,3549.8900000000003
2010-07-21,-1350.0499999999993
2010-07-22,5399.98
2010-07-23,3750.039999999999
2010-07-24,1249.9899999999998
2010-07-25,1353.5394733355006
2010-07-26,-20750.522042588196
2010-07-27,-1199.3499999999894
2010-07-28,1600.8900000000003
2010-07-29,6950.860000000001
2010-07-30,1650.2299999999996
2010-07-31,4399.339999999999
2010-08-01,4050.1000000000004
2010-08-02,2914.040000000001
2010-08-03,434.77999999999884
2010-08-04,3899.959999999999
2010-08-05,3199.9399999999996
2010-08-06,1549.96
2010-08-07,-597.7699999999995
2010-08-08,3349.989999999999
2010-08-09,1604.3199999999997
2010-08-10,999.6700000000001
2010-08-11,1149.9699999999993
2010-08-12,7299.959999999999
2010-08-13,2395.6800000000003
2010-08-14,7050.3
2010-08-15,3350.0
2010-08-16,-599.3499999999995
2010-08-17,3050.0
2010-08-18,-2548.7599999999993
2010-08-19,2898.81
2010-08-20,1799.999999999999
2010-08-21,4049.99
2010-08-22,1299.9599999999991
2010-08-23,1350.0299999999988
2010-08-24,1600.800000000001
2010-08-25,5599.2
2010-08-26,3749.999999999999
2010-08-27,1756.6000000000004
2010-08-28,2443.4000011
2010-08-29,4900.24
2010-08-30,2550.2999995
2010-08-31,-249.9399998000008
2010-09-01,2699.9699999999602
2010-09-02,-550.1900000999995
2010-09-03,3699.99
2010-09-04,3199.95
2010-09-05,1854.5899980004006
2010-09-06,194.92000019995976
2010-09-07,3400.5
2010-09-08,3099.47000029992
2010-09-09,3150.21000009996
2010-09-10,4110.02000019996
2010-09-11,5500.08
2010-09-12,-3149.8800002999997
2010-09-13,1600.090000099999
2010-09-14,3660.6799999999994
2010-09-15,3089.289603519999
2010-09-16,749.9599999999991
2010-09-17,-20850.0
2010-09-18,5355.218371493098
2010-09-19,-1945.1396035199996
2010-09-20,3610.039999999999
2010-09-21,-385.05999989999873
2010-09-22,2305.0600000000004
2010-09-23,231.76000000000022
2010-09-24,3762.2299999999996
2010-09-25,2499.9800000000005
2010-09-26,3670.0
2010-09-27,-13444.98
2010-09-28,-45428.590343318
2010-09-29,909.6900000000005
2010-09-30,1799.9800000000005
2010-10-01,3550.55
2010-10-02,849.4477681300004
2010-10-03,1650.0077662499998
2010-10-04,-3699.9999990099996
2010-10-05,2600.0099999000004
2010-10-06,3025.0000010900003
2010-10-07,-294.9399999999996
2010-10-08,-6450.0
2010-10-09,-594.8900000000003
2010-10-10,4554.8099999999995
2010-10-11,1055.0000010900003
2010-10-12,1350.0
2010-10-13,-12499.310011666299
2010-10-14,2950.0499999999993
2010-10-15,3100.0
2010-10-16,-6539.950001090001
2010-10-17,4710.0
2010-10-18,4650.02
2010-10-19,7799.88
2010-10-20,5454.99
2010-10-21,75.65774678378875
2010-10-22,3155.0
2010-10-23,3005.5499999999993
2010-10-24,4250.0
2010-10-25,4399.98
2010-10-26,7800.040000000001
2010-10-27,-200.0
2010-10-28,-2545.0
2010-10-29,4199.77
2010-10-30,5049.98
2010-10-31,1598.4399999999996
2010-11-01,2605.039999999999
2010-11-02,4050.0
2010-11-03,3099.9799999999996
2010-11-04,2005.0
2010-11-05,-350.0
