t,indicators_liveliness_account_based
2010-01-01,0.00913996849363619
2010-01-02,0.00906868257884556
2010-01-03,0.00898276815746129
2010-01-04,0.00998422844896807
2010-01-05,0.011264068754368
2010-01-06,0.0111426016616727
2010-01-07,0.011037572781517
2010-01-08,0.0109372721859674
2010-01-09,0.0108392922049298
2010-01-10,0.0107309780496969
2010-01-11,0.0106217395324932
2010-01-12,0.0110272761851163
2010-01-13,0.012415814578426
2010-01-14,0.0123103358965525
2010-01-15,0.0122381724150675
2010-01-16,0.0121840066700628
2010-01-17,0.0121010835674171
2010-01-18,0.0120134380653983
2010-01-19,0.0119297364275131
2010-01-20,0.0118351140497175
2010-01-21,0.0117252918667687
2010-01-22,0.0116256097009406
2010-01-23,0.0115316546198138
2010-01-24,0.0114318896090797
2010-01-25,0.0113366861022401
2010-01-26,0.0112364365546555
2010-01-27,0.0111336247726192
2010-01-28,0.0110369066408497
2010-01-29,0.010933122756545
2010-01-30,0.010829850656004
2010-01-31,0.0107896485051443
2010-02-01,0.010698683287074
2010-02-02,0.0106102815226626
2010-02-03,0.0105015872246544
2010-02-04,0.0103731729526311
2010-02-05,0.0116148088954999
2010-02-06,0.0115709838504791
2010-02-07,0.0114565135358033
2010-02-08,0.0116232918354567
2010-02-09,0.0129926371504782
2010-02-10,0.01922063911566
2010-02-11,0.0202650075428221
2010-02-12,0.0201820140904097
2010-02-13,0.020055971920825
2010-02-14,0.0205220862597825
2010-02-15,0.0203836916282984
2010-02-16,0.0202703032646296
2010-02-17,0.0203991252456699
2010-02-18,0.0206794389935568
2010-02-19,0.0205083602113653
2010-02-20,0.0203117109092857
2010-02-21,0.0201300135016345
2010-02-22,0.0207635033074746
2010-02-23,0.0206531295336422
2010-02-24,0.0208281800140132
2010-02-25,0.0208904815226954
2010-02-26,0.0209553743385326
2010-02-27,0.0209161144884275
2010-02-28,0.0209183573875501
2010-03-01,0.0209419369540258
2010-03-02,0.0207882383548696
2010-03-03,0.0206495167537928
2010-03-04,0.0212282218601349
2010-03-05,0.0243307464191619
2010-03-06,0.0258692890419052
2010-03-07,0.0259095369504482
2010-03-08,0.0264785288458597
2010-03-09,0.0271683556897723
2010-03-10,0.0270379460742458
2010-03-11,0.0270195225476109
2010-03-12,0.0269645572259162
