t,entities_new_count
2010-01-01,50
2010-01-02,37
2010-01-03,61
2010-01-04,59
2010-01-05,62
2010-01-06,52
2010-01-07,58
2010-01-08,60
2010-01-09,60
2010-01-10,53
2010-01-11,48
2010-01-12,33
2010-01-13,59
2010-01-14,49
2010-01-15,40
2010-01-16,36
2010-01-17,36
2010-01-18,26
2010-01-19,12
2010-01-20,18
2010-01-21,45
2010-01-22,39
2010-01-23,34
2010-01-24,41
2010-01-25,46
2010-01-26,48
2010-01-27,42
2010-01-28,50
2010-01-29,54
2010-01-30,50
2010-01-31,23
2010-02-01,33
2010-02-02,35
2010-02-03,71
2010-02-04,64
2010-02-05,54
2010-02-06,49
2010-02-07,37
2010-02-08,55
2010-02-09,55
2010-02-10,44
2010-02-11,55
2010-02-12,48
2010-02-13,54
2010-02-14,61
2010-02-15,60
2010-02-16,51
2010-02-17,60
2010-02-18,66
2010-02-19,54
2010-02-20,45
2010-02-21,74
2010-02-22,92
2010-02-23,58
2010-02-24,60
2010-02-25,60
2010-02-26,65
2010-02-27,50
2010-02-28,43
2010-03-01,58
2010-03-02,54
2010-03-03,46
2010-03-04,68
2010-03-05,62
2010-03-06,59
2010-03-07,55
2010-03-08,45
2010-03-09,50
2010-03-10,52
2010-03-11,35
2010-03-12,43
2010-03-13,45
2010-03-14,37
2010-03-15,51
2010-03-16,39
2010-03-17,48
2010-03-18,54
2010-03-19,67
2010-03-20,55
2010-03-21,65
2010-03-22,68
2010-03-23,72
2010-03-24,63
2010-03-25,80
2010-03-26,73
2010-03-27,53
2010-03-28,60
2010-03-29,70
2010-03-30,68
2010-03-31,63
2010-04-01,60
2010-04-02,54
2010-04-03,64
2010-04-04,56
2010-04-05,64
2010-04-06,66
2010-04-07,71
2010-04-08,69
2010-04-09,83
2010-04-10,89
2010-04-11,82
2010-04-12,70
2010-04-13,63
2010-04-14,86
2010-04-15,93
2010-04-16,89
2010-04-17,86
2010-04-18,127
2010-04-19,94
2010-04-20,83
2010-04-21,84
2010-04-22,73
2010-04-23,64
2010-04-24,74
2010-04-25,76
2010-04-26,66
2010-04-27,80
2010-04-28,90
2010-04-29,69
2010-04-30,66
2010-05-01,101
2010-05-02,61
2010-05-03,67
2010-05-04,51
2010-05-05,46
2010-05-06,49
2010-05-07,34
2010-05-08,37
2010-05-09,36
2010-05-10,43
2010-05-11,34
2010-05-12,41
2010-05-13,54
2010-05-14,45
2010-05-15,30
2010-05-16,32
2010-05-17,43
2010-05-18,56
2010-05-19,57
2010-05-20,71
2010-05-21,59
2010-05-22,77
2010-05-23,100
2010-05-24,81
2010-05-25,95
2010-05-26,99
2010-05-27,107
2010-05-28,98
2010-05-29,77
2010-05-30,71
2010-05-31,65
2010-06-01,67
2010-06-02,68
2010-06-03,79
2010-06-04,74
2010-06-05,54
