t,indicators_mvrv_account_based
2010-07-18,1.27695344978303
2010-07-19,1.771708059215
2010-07-20,1.58161054025974
2010-07-21,1.41477540556728
2010-07-22,1.34205961765293
2010-07-23,1.26208659266286
2010-07-24,1.1050458902951
2010-07-25,1.10983067727953
2010-07-26,1.01163407675567
2010-07-27,1.16521709734352
2010-07-28,1.14698861261013
2010-07-29,1.17935365682369
2010-07-30,1.2782216715994
2010-07-31,1.26028066579557
2010-08-01,1.20861524710975
2010-08-02,1.20709309792864
2010-08-03,1.21008822881738
2010-08-04,1.16740481254194
2010-08-05,1.17849263252007
2010-08-06,1.21293947549326
2010-08-07,1.19233827534286
2010-08-08,1.16672746007221
2010-08-09,1.26011482672584
2010-08-10,1.3423361408626
2010-08-11,1.35129800140636
2010-08-12,1.27544717842854
2010-08-13,1.30434206228302
2010-08-14,1.27927188548406
2010-08-15,1.29722960008053
2010-08-16,1.26934635876196
2010-08-17,1.27159060239944
2010-08-18,1.36320708971951
2010-08-19,1.30164372696233
2010-08-20,1.2707800165168
2010-08-21,1.2587860966754
2010-08-22,1.21618128742184
2010-08-23,1.25157379701267
2010-08-24,1.25661489138731
2010-08-25,1.24313294992822
2010-08-26,1.23585755228595
2010-08-27,1.22879179026917
2010-08-28,1.2388540637465
2010-08-29,1.22784176338281
2010-08-30,1.19789857829543
2010-08-31,1.20971371801246
2010-09-01,1.16046240469688
2010-09-02,1.16597674624286
2010-09-03,1.17788433036564
2010-09-04,1.16610613143934
2010-09-05,1.18470299131553
2010-09-06,1.17457646293935
2010-09-07,1.16974866641913
2010-09-08,1.16479714774942
2010-09-09,1.16989500240208
2010-09-10,1.15805680114731
2010-09-11,1.18483052208527
2010-09-12,1.1708278275339
2010-09-13,1.17239019997606
2010-09-14,1.20400440507304
2010-09-15,1.16361430051617
2010-09-16,1.16825067345389
2010-09-17,1.15001058909374
2010-09-18,1.13664460556332
2010-09-19,1.16439981188847
2010-09-20,1.18176964802921
2010-09-21,1.19117905257701
2010-09-22,1.17820289918734
2010-09-23,1.17307064086653
2010-09-24,1.17540865726798
2010-09-25,1.16982717113734
2010-09-26,1.17060657413638
2010-09-27,1.17076003951959
2010-09-28,1.1651269601679
2010-09-29,1.16087964386781
2010-09-30,1.15918354625544
2010-10-01,1.16029692592005
2010-10-02,1.15225426726775
2010-10-03,1.14812859361535
2010-10-04,1.1449963554592
2010-10-05,1.14787792022952
2010-10-06,1.16408677247272
2010-10-07,1.18780470550538
2010-10-08,1.39546600177307
2010-10-09,1.56326083180056
