t,o
2010-01-01,"{'0001_001': 0, '001_01': 6.13064402415474e-09, '01_1': 9.19596603623211e-07, '100_1k': 0.0448868957483984, '10_100': 0.665839965668394, '10k_100k': 0.169194684731631, '1_10': 1.31441007877878e-05, '1k_10k': 0.120064384023542, 'above_100k': 0, 'less_0001': 0}"
2010-01-02,"{'0001_001': 0, '001_01': 6.10724319042384e-09, '01_1': 9.16086478563576e-07, '100_1k': 0.0439521558568462, '10_100': 0.664245059240259, '10k_100k': 0.169190124587761, '1_10': 1.30939294002687e-05, '1k_10k': 0.122598644192012, 'above_100k': 0, 'less_0001': 0}"
2010-01-03,"{'0001_001': 0, '001_01': 6.07275156373353e-09, '01_1': 9.10912734560029e-07, '100_1k': 0.0450095706564644, '10_100': 0.662224363879274, '10k_100k': 0.168781144106395, '1_10': 1.30199793526447e-05, '1k_10k': 0.123970984393028, 'above_100k': 0, 'less_0001': 0}"
2010-01-04,"{'0001_001': 0, '001_01': 6.03955911218481e-09, '01_1': 9.05933866827722e-07, '100_1k': 0.0446268579193719, '10_100': 0.660251366450249, '10k_100k': 0.169308114147667, '1_10': 1.29488147365242e-05, '1k_10k': 0.125799800694549, 'above_100k': 0, 'less_0001': 0}"
2010-01-05,"{'0001_001': 0, '001_01': 6.00366223396272e-09, '01_1': 9.00549335094408e-07, '100_1k': 0.0460126196980158, '10_100': 0.658098159877525, '10k_100k': 0.169112304505749, '1_10': 1.28718518296161e-05, '1k_10k': 0.126763137513883, 'above_100k': 0, 'less_0001': 0}"
2010-01-06,"{'0001_001': 0, '001_01': 5.97442944198829e-09, '01_1': 8.96164416298244e-07, '100_1k': 0.0468042298960449, '10_100': 0.656357509857808, '10k_100k': 0.169214906201458, '1_10': 1.28091767236229e-05, '1k_10k': 0.127609642729119, 'above_100k': 0, 'less_0001': 0}"
2010-01-07,"{'0001_001': 0, '001_01': 5.94707106749926e-09, '01_1': 8.92060660124888e-07, '100_1k': 0.0468277847160274, '10_100': 0.654927862027951, '10k_100k': 0.16933209039548, '1_10': 1.27505203687184e-05, '1k_10k': 0.128898614332441, 'above_100k': 0, 'less_0001': 0}"
2010-01-08,"{'0001_001': 0, '001_01': 5.92013734718645e-09, '01_1': 8.88020602077968e-07, '100_1k': 0.0458756889559838, '10_100': 0.653708196430157, '10k_100k': 0.169275617914336, '1_10': 1.26927744723678e-05, '1k_10k': 0.131126909984312, 'above_100k': 0, 'less_0001': 0}"
2010-01-09,"{'0001_001': 0, '001_01': 5.89379383509165e-09, '01_1': 8.84069075263747e-07, '100_1k': 0.0450232333352979, '10_100': 0.652479047562916, '10k_100k': 0.16928856603996, '1_10': 1.26362939824365e-05, '1k_10k': 0.133195626804974, 'above_100k': 0, 'less_0001': 0}"
2010-01-10,"{'0001_001': 0, '001_01': 5.86097761106553e-09, '01_1': 8.79146641659829e-07, '100_1k': 0.0458568280389169, '10_100': 0.650282030242644, '10k_100k': 0.181093605673426, '1_10': 1.25659359981245e-05, '1k_10k': 0.122754085101395, 'above_100k': 0, 'less_0001': 0}"
2010-01-11,"{'0001_001': 0, '001_01': 5.83379517545139e-09, '01_1': 8.75069276317708e-07, '100_1k': 0.0459941778724149, '10_100': 0.648491205553773, '10k_100k': 0.18127463174168, '1_10': 1.25076568561678e-05, '1k_10k': 0.124226596272205, 'above_100k': 0, 'less_0001': 0}"
2010-01-12,"{'0001_001': 0, '001_01': 5.80686371290866e-09, '01_1': 8.71029556936299e-07, '100_1k': 0.0458984147262064, '10_100': 0.646368503571221, '10k_100k': 0.181163062539922, '1_10': 1.24499158004762e-05, '1k_10k': 0.126556692410429, 'above_100k': 0, 'less_0001': 0}"
2010-01-13,"{'0001_001': 0, '001_01': 5.77934462231983e-09, '01_1': 8.66901693347974e-07, '100_1k': 0.0459993411547131, '10_100': 0.644978443044559, '10k_100k': 0.181026937525285, '1_10': 1.47026527191816e-05, '1k_10k': 0.127979702941686, 'above_100k': 0, 'less_0001': 0}"
2010-01-14,"{'0001_001': 0, '001_01': 5.75556131111687e-09, '01_1': 8.6333419666753e-07, '100_1k': 0.0446013755791534, '10_100': 0.643647989870212, '10k_100k': 0.181030193674638, '1_10': 1.46421479754813e-05, '1k_10k': 0.130704929638263, 'above_100k': 0, 'less_0001': 0}"
2010-01-15,"{'0001_001': 0, '001_01': 5.7323015190599e-09, '01_1': 8.59845227858985e-07, '100_1k': 0.044248736027515, '10_100': 0.642078647176842, '10k_100k': 0.181273516766982, '1_10': 1.45829750644884e-05, '1k_10k': 0.132383651476068, 'above_100k': 0, 'less_0001': 0}"
2010-01-16,"{'0001_001': 0, '001_01': 5.71183778380694e-09, '01_1': 8.56775667571041e-07, '100_1k': 0.0445442924460945, '10_100': 0.640731800656861, '10k_100k': 0.181626531486506, '1_10': 1.45309153220049e-05, '1k_10k': 0.133081982007711, 'above_100k': 0, 'less_0001': 0}"
2010-01-17,"{'0001_001': 0, '001_01': 5.69054799977238e-09, '01_1': 8.53582199965857e-07, '100_1k': 0.0448904114266204, '10_100': 0.639339441188187, '10k_100k': 0.181774682751949, '1_10': 1.44767541114209e-05, '1k_10k': 0.133980128606385, 'above_100k': 0, 'less_0001': 0}"
2010-01-18,"{'0001_001': 0, '001_01': 5.67038076606844e-09, '01_1': 8.50557114910266e-07, '100_1k': 0.0449864874826345, '10_100': 0.637727991834652, '10k_100k': 0.182094440191659, '1_10': 1.21572963624507e-05, '1k_10k': 0.135178066967197, 'above_100k': 0, 'less_0001': 0}"
2010-01-19,"{'0001_001': 0, '001_01': 5.65051560954937e-09, '01_1': 8.47577341432406e-07, '100_1k': 0.044602864811414, '10_100': 0.63583285774827, '10k_100k': 0.182473597965814, '1_10': 1.21147054668739e-05, '1k_10k': 0.137077711541178, 'above_100k': 0, 'less_0001': 0}"
2010-01-20,"{'0001_001': 0, '001_01': 5.62540432593593e-09, '01_1': 8.43810648890389e-07, '100_1k': 0.0453328382977527, '10_100': 0.633457204736591, '10k_100k': 0.182844007538042, '1_10': 1.20608668748066e-05, '1k_10k': 0.138353039124687, 'above_100k': 0, 'less_0001': 0}"
2010-01-21,"{'0001_001': 0, '001_01': 5.59785042543663e-09, '01_1': 8.39677563815495e-07, '100_1k': 0.0449428571428571, '10_100': 0.631446036721899, '10k_100k': 0.182872061128527, '1_10': 1.20017913121361e-05, '1k_10k': 0.140726197939991, 'above_100k': 0, 'less_0001': 0}"
2010-01-22,"{'0001_001': 0, '001_01': 5.57708931708541e-09, '01_1': 8.36563397562812e-07, '100_1k': 0.0455011962856585, '10_100': 0.630079585064555, '10k_100k': 0.182946738797022, '1_10': 1.25149884275397e-05, '1k_10k': 0.14145912272385, 'above_100k': 0, 'less_0001': 0}"
2010-01-23,"{'0001_001': 0, '001_01': 5.55231670414481e-09, '01_1': 8.32847505621721e-07, '100_1k': 0.0456044640626301, '10_100': 0.628169789844813, '10k_100k': 0.183161294800255, '1_10': 1.24593986841009e-05, '1k_10k': 0.143051153493795, 'above_100k': 0, 'less_0001': 0}"
2010-01-24,"{'0001_001': 0, '001_01': 5.5286800276434e-09, '01_1': 8.2930200414651e-07, '100_1k': 0.0457973296475467, '10_100': 0.62654606772633, '10k_100k': 0.183210863856254, '1_10': 1.24063579820318e-05, '1k_10k': 0.144432497581202, 'above_100k': 0, 'less_0001': 0}"
2010-01-25,"{'0001_001': 0, '001_01': 5.49661957895894e-09, '01_1': 8.24492936843841e-07, '100_1k': 0.0456686197988237, '10_100': 0.624039575660969, '10k_100k': 0.183357692519101, '1_10': 1.23344143351839e-05, '1k_10k': 0.146920947617215, 'above_100k': 0, 'less_0001': 0}"
2010-01-26,"{'0001_001': 0, '001_01': 5.46731910007928e-09, '01_1': 8.20097865011891e-07, '100_1k': 0.0453437139498647, '10_100': 0.62194264782264, '10k_100k': 0.183528416391023, '1_10': 1.22686640605779e-05, '1k_10k': 0.149172127607228, 'above_100k': 0, 'less_0001': 0}"
2010-01-27,"{'0001_001': 0, '001_01': 5.4429174037284e-09, '01_1': 8.1643761055926e-07, '100_1k': 0.0459305592597632, '10_100': 0.620255381684583, '10k_100k': 0.183226370934821, '1_10': 1.22139066539665e-05, '1k_10k': 0.150574652333651, 'above_100k': 0, 'less_0001': 0}"
2010-01-28,"{'0001_001': 0, '001_01': 5.41682465738584e-09, '01_1': 8.12523698607876e-07, '100_1k': 0.0452499431233411, '10_100': 0.618473647148042, '10k_100k': 0.183052191105574, '1_10': 1.21553545311738e-05, '1k_10k': 0.153211245327989, 'above_100k': 0, 'less_0001': 0}"
2010-01-29,"{'0001_001': 0, '001_01': 5.38807618739729e-09, '01_1': 8.08211428109594e-07, '100_1k': 0.0455485977531722, '10_100': 0.616403566906436, '10k_100k': 0.182808076726205, '1_10': 1.20908429645195e-05, '1k_10k': 0.155226854171718, 'above_100k': 0, 'less_0001': 0}"
2010-01-30,"{'0001_001': 0, '001_01': 5.35776474055024e-09, '01_1': 8.03664711082537e-07, '100_1k': 0.0459085000937609, '10_100': 0.614141391411503, '10k_100k': 0.182529748988722, '1_10': 1.20228240777947e-05, '1k_10k': 0.157407527659461, 'above_100k': 0, 'less_0001': 0}"
2010-01-31,"{'0001_001': 0, '001_01': 5.33418680322185e-09, '01_1': 8.00128020483277e-07, '100_1k': 0.0459998506427695, '10_100': 0.611892142742839, '10k_100k': 0.182606630394196, '1_10': 1.19699151864298e-05, '1k_10k': 0.159488600842802, 'above_100k': 0, 'less_0001': 0}"
2010-02-01,"{'0001_001': 0, '001_01': 5.30813737459526e-09, '01_1': 7.96220606189288e-07, '100_1k': 0.0468633791602527, '10_100': 0.609540952279845, '10k_100k': 0.182537634693986, '1_10': 1.19114602685918e-05, '1k_10k': 0.161045320876904, 'above_100k': 0, 'less_0001': 0}"
2010-02-02,"{'0001_001': 0, '001_01': 5.2877878539513e-09, '01_1': 7.93168178092695e-07, '100_1k': 0.0479263516907702, '10_100': 0.607997356106073, '10k_100k': 0.182313750892314, '1_10': 1.18657959442667e-05, '1k_10k': 0.161749877058932, 'above_100k': 0, 'less_0001': 0}"
2010-02-03,"{'0001_001': 0, '001_01': 5.25030845562177e-09, '01_1': 7.87546268343265e-07, '100_1k': 0.0489517339143675, '10_100': 0.605289265744362, '10k_100k': 0.181914078702124, '1_10': 1.17816921744152e-05, '1k_10k': 0.163832347150395, 'above_100k': 0, 'less_0001': 0}"
2010-02-04,"{'0001_001': 0, '001_01': 5.21893429361724e-09, '01_1': 7.82840144042587e-07, '100_1k': 0.0493142007202129, '10_100': 0.603003068733365, '10k_100k': 0.187402875632796, '1_10': 1.17112885548771e-05, '1k_10k': 0.160267355565993, 'above_100k': 0, 'less_0001': 0}"
2010-02-05,"{'0001_001': 0, '001_01': 5.18874043325983e-09, '01_1': 7.78311064988974e-07, '100_1k': 0.0497293760539629, '10_100': 0.600707837592425, '10k_100k': 0.18743424568686, '1_10': 1.16435335322351e-05, '1k_10k': 0.162116113633416, 'above_100k': 0, 'less_0001': 0}"
