t,entities_active_count
2010-01-01,4
2010-01-02,0
2010-01-03,0
2010-01-04,5
2010-01-05,0
2010-01-06,0
2010-01-07,0
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,2
2010-01-13,4
2010-01-14,5
2010-01-15,2
2010-01-16,2
2010-01-17,0
2010-01-18,3
2010-01-19,0
2010-01-20,0
2010-01-21,4
2010-01-22,6
2010-01-23,2
2010-01-24,2
2010-01-25,6
2010-01-26,6
2010-01-27,3
2010-01-28,3
2010-01-29,6
2010-01-30,7
2010-01-31,4
2010-02-01,9
2010-02-02,2
2010-02-03,3
2010-02-04,7
2010-02-05,7
2010-02-06,17
2010-02-07,9
2010-02-08,11
2010-02-09,6
2010-02-10,8
2010-02-11,8
2010-02-12,7
2010-02-13,6
2010-02-14,10
2010-02-15,19
2010-02-16,13
2010-02-17,12
2010-02-18,12
2010-02-19,4
2010-02-20,4
2010-02-21,8
2010-02-22,10
2010-02-23,2
2010-02-24,11
2010-02-25,7
2010-02-26,8
2010-02-27,5
2010-02-28,5
2010-03-01,8
2010-03-02,10
2010-03-03,9
2010-03-04,5
2010-03-05,4
2010-03-06,10
2010-03-07,7
2010-03-08,11
2010-03-09,4
2010-03-10,14
2010-03-11,6
2010-03-12,4
2010-03-13,2
2010-03-14,3
2010-03-15,7
2010-03-16,6
2010-03-17,6
2010-03-18,10
2010-03-19,18
2010-03-20,18
2010-03-21,11
2010-03-22,12
2010-03-23,19
2010-03-24,17
2010-03-25,22
2010-03-26,22
2010-03-27,10
2010-03-28,8
2010-03-29,18
2010-03-30,9
2010-03-31,7
2010-04-01,16
2010-04-02,8
2010-04-03,9
2010-04-04,17
2010-04-05,36
2010-04-06,24
2010-04-07,17
2010-04-08,15
2010-04-09,38
2010-04-10,53
2010-04-11,55
2010-04-12,56
2010-04-13,34
2010-04-14,53
2010-04-15,60
2010-04-16,43
2010-04-17,33
2010-04-18,78
2010-04-19,56
2010-04-20,51
2010-04-21,45
2010-04-22,43
2010-04-23,45
2010-04-24,33
2010-04-25,52
2010-04-26,50
2010-04-27,50
2010-04-28,56
2010-04-29,47
2010-04-30,33
2010-05-01,41
2010-05-02,34
2010-05-03,37
2010-05-04,42
2010-05-05,30
2010-05-06,34
2010-05-07,33
2010-05-08,37
2010-05-09,34
2010-05-10,39
2010-05-11,27
2010-05-12,39
2010-05-13,54
2010-05-14,41
2010-05-15,30
2010-05-16,26
2010-05-17,47
2010-05-18,57
2010-05-19,52
2010-05-20,36
2010-05-21,61
2010-05-22,37
2010-05-23,107
2010-05-24,90
2010-05-25,68
2010-05-26,92
2010-05-27,88
2010-05-28,73
2010-05-29,75
2010-05-30,76
2010-05-31,79
2010-06-01,72
2010-06-02,68
2010-06-03,89
2010-06-04,76
2010-06-05,50
2010-06-06,75
2010-06-07,79
2010-06-08,104
2010-06-09,76
2010-06-10,86
2010-06-11,84
2010-06-12,84
2010-06-13,90
2010-06-14,97
2010-06-15,111
2010-06-16,75
2010-06-17,96
2010-06-18,60
2010-06-19,86
2010-06-20,65
2010-06-21,89
2010-06-22,91
2010-06-23,87
2010-06-24,99
2010-06-25,85
2010-06-26,64
2010-06-27,77
2010-06-28,94
2010-06-29,95
2010-06-30,84
