t,indicators_sopr_account_based
2010-07-18,1.21647219374303
2010-07-19,1.40772939832191
2010-07-20,1.21270052534855
2010-07-21,1.11473748121907
2010-07-22,0.950417568962762
2010-07-23,1.06386539072777
2010-07-24,1.02099801406828
2010-07-25,1.04489918606988
2010-07-26,1.04337026429596
2010-07-27,1.0635749078449
2010-07-28,1.03187537528289
2010-07-29,1.04318885766549
2010-07-30,1.14957262920318
2010-07-31,1.06727778681423
2010-08-01,1.02422609825584
2010-08-02,1.01340497302626
2010-08-03,1.03233444471385
2010-08-04,1.03035457975243
2010-08-05,1.0088013681599
2010-08-06,1.0832821414715
2010-08-07,1.06310991587297
2010-08-08,1.04849056507318
2010-08-09,1.09552210886697
2010-08-10,1.07105764084652
2010-08-11,1.06966423901646
2010-08-12,1.04493544491461
2010-08-13,1.12095082008572
2010-08-14,1.01885639512596
2010-08-15,1.06309400686867
2010-08-16,1.07921720285823
2010-08-17,1.04577037307892
2010-08-18,1.12591119056942
2010-08-19,1.02584522256728
2010-08-20,1.00727979269706
2010-08-21,1.01797126185277
2010-08-22,1.06990732074393
2010-08-23,1.01972945495376
2010-08-24,1.0316515680874
2010-08-25,1.03057313756294
2010-08-26,1.01929148094666
2010-08-27,1.03860475910752
2010-08-28,1.0136125601605
2010-08-29,1.02732145532026
2010-08-30,0.980566695442653
2010-08-31,1.02255493461337
2010-09-01,0.954804140321875
2010-09-02,0.977014085681909
2010-09-03,0.980801040181873
2010-09-04,0.986060540512641
2010-09-05,1.0281740017812
2010-09-06,0.988491420229329
2010-09-07,0.989229816434447
2010-09-08,0.998799468815754
2010-09-09,1.07360954516806
2010-09-10,0.987093271170479
2010-09-11,0.949661694153525
2010-09-12,1.01344561631146
2010-09-13,1.00381385014069
2010-09-14,1.00512591851845
2010-09-15,1.03713037092546
2010-09-16,1.06052248456961
2010-09-17,1.1001361255432
2010-09-18,0.979081299580616
2010-09-19,1.00987445334247
2010-09-20,0.998712593287779
2010-09-21,1.01894071068778
2010-09-22,1.00876012606635
2010-09-23,1.00571221434792
2010-09-24,1.0020313094483
2010-09-25,0.998550663677598
2010-09-26,1.00023764381086
2010-09-27,1.12757255020754
2010-09-28,1.14929739736176
2010-09-29,1.00262981973605
2010-09-30,0.987859709165529
2010-10-01,1.09536428182427
2010-10-02,1.00013204795287
2010-10-03,0.997375645058859
2010-10-04,1.00303737447176
2010-10-05,1.03654293325274
2010-10-06,1.01346342958956
2010-10-07,1.03676890236828
2010-10-08,1.1523708292975
2010-10-09,1.32006783299315
2010-10-10,1.24580866701932
2010-10-11,1.30761305938263
2010-10-12,1.07489107520264
2010-10-13,1.31438022253584
2010-10-14,1.09357777093033
2010-10-15,1.45364120027542
2010-10-16,1.14258663992308
2010-10-17,1.08565441101288
2010-10-18,1.05189494531658
2010-10-19,1.03952147273575
2010-10-20,1.18068521563663
2010-10-21,1.30263502797625
2010-10-22,1.04831338441063
2010-10-23,1.17837596172824
2010-10-24,1.23340928647323
2010-10-25,1.31655327601385
2010-10-26,1.41518881608837
2010-10-27,1.50439584946544
2010-10-28,2.04019220777068
2010-10-29,1.28122206563342
2010-10-30,1.33905427600293
2010-10-31,1.43284153471963
2010-11-01,1.12845270959933
2010-11-02,1.27495407809757
2010-11-03,1.32303416689205
2010-11-04,1.57227597460973
2010-11-05,1.55659876297746
2010-11-06,2.40695737452669
2010-11-07,1.31616718656796
2010-11-08,1.40918886602558
2010-11-09,1.24705613330382
2010-11-10,0.82971635279934
2010-11-11,1.2266445796245
2010-11-12,1.0651181653497
2010-11-13,1.50367129138643
2010-11-14,1.28374673100342
2010-11-15,1.99854607332318
2010-11-16,1.11418419152615
2010-11-17,1.06711534605853
2010-11-18,1.1892868272245
2010-11-19,1.43171035306563
2010-11-20,1.1983285337627
2010-11-21,1.09070692615878
2010-11-22,1.09693873269815
2010-11-23,1.08759329904983
2010-11-24,1.1897219182295
2010-11-25,1.2259941993088
2010-11-26,0.9048126759586
2010-11-27,1.16498726312725
2010-11-28,0.998668421367179
2010-11-29,0.992366707518924
2010-11-30,1.02446360482154
2010-12-01,0.929272137867147
2010-12-02,1.49375598433926
2010-12-03,1.01814591294022
2010-12-04,0.987145067961147
2010-12-05,1.12903530193374
2010-12-06,0.753708104012161
2010-12-07,1.13418839090064
2010-12-08,1.0939963519988
2010-12-09,0.949641242806445
