t,o
2010-01-01,"{'0001_001': 0, '001_01': 4.904665563116915e-08, '01_1': 9.196247930844217e-07, '100_1k': 0.005286739010483723, '10_100': 0.9164199619888419, '10k_100k': 0.06736507265035867, '1_10': 1.4370670099932562e-05, '1k_10k': 0.01091288700876709, 'above_100k': 0, 'less_0001': 0}"
2010-01-02,"{'0001_001': 0, '001_01': 4.885794552339074e-08, '01_1': 9.160864785635765e-07, '100_1k': 0.005266397947966288, '10_100': 0.9167415414681813, '10k_100k': 0.06710588127519239, '1_10': 1.4315378038353488e-05, '1k_10k': 0.010870898986197631, 'above_100k': 0, 'less_0001': 0}"
2010-01-03,"{'0001_001': 0, '001_01': 4.858201250986822e-08, '01_1': 9.109127345600292e-07, '100_1k': 0.005236655128438695, '10_100': 0.9172117568470274, '10k_100k': 0.06672689014392422, '1_10': 1.4234529665391389e-05, '1k_10k': 0.010809503856197243, 'above_100k': 0, 'less_0001': 0}"
2010-01-04,"{'0001_001': 0, '001_01': 4.8316472897478476e-08, '01_1': 9.059338668277216e-07, '100_1k': 0.004769355277064774, '10_100': 0.9152341476672202, '10k_100k': 0.06923096481956817, '1_10': 1.4156726558961195e-05, '1k_10k': 0.010750421259248074, 'above_100k': 0, 'less_0001': 0}"
2010-01-05,"{'0001_001': 0, '001_01': 4.8029297871701734e-08, '01_1': 9.005493350944077e-07, '100_1k': 0.004741008014889083, '10_100': 0.9157379641581366, '10k_100k': 0.06881948188394922, '1_10': 1.407258427640861e-05, '1k_10k': 0.01068652478011587, 'above_100k': 0, 'less_0001': 0}"
2010-01-06,"{'0001_001': 0, '001_01': 4.779543553590631e-08, '01_1': 8.961644162982436e-07, '100_1k': 0.004717923288325964, '10_100': 0.9161482494921734, '10k_100k': 0.06848438881586809, '1_10': 1.400406261202055e-05, '1k_10k': 0.010634490381168597, 'above_100k': 0, 'less_0001': 0}"
2010-01-07,"{'0001_001': 0, '001_01': 4.757656853999405e-08, '01_1': 8.920606601248886e-07, '100_1k': 0.004696318763009219, '10_100': 0.9165322271781149, '10k_100k': 0.06817078203984539, '1_10': 1.3939934582218259e-05, '1k_10k': 0.010585792447219744, 'above_100k': 0, 'less_0001': 0}"
2010-01-08,"{'0001_001': 0, '001_01': 4.736109877749163e-08, '01_1': 8.880206020779682e-07, '100_1k': 0.004675049581150282, '10_100': 0.9169102447976792, '10k_100k': 0.06786204303939851, '1_10': 1.3876801941805048e-05, '1k_10k': 0.010537850398129236, 'above_100k': 0, 'less_0001': 0}"
2010-01-09,"{'0001_001': 0, '001_01': 4.715035068073318e-08, '01_1': 8.840690752637473e-07, '100_1k': 0.004654246478458184, '10_100': 0.9172799787823421, '10k_100k': 0.06756006954676726, '1_10': 1.3815052749454822e-05, '1k_10k': 0.010490958920256968, 'above_100k': 0, 'less_0001': 0}"
2010-01-10,"{'0001_001': 0, '001_01': 4.6887820888524206e-08, '01_1': 8.79146641659829e-07, '100_1k': 0.0046283319657718916, '10_100': 0.9177405579650687, '10k_100k': 0.06718389989450241, '1_10': 1.3738131520337592e-05, '1k_10k': 0.010432546008674248, 'above_100k': 0, 'less_0001': 0}"
